gid,split,date_min,date_max,n_leaves,voc_id,prospective,exact_recall,acquired_recall,bundle_frac,root_n_sig,root_bundle
17,val,2020-07-23,2020-07-25,300,Zeta,True,0.3333,0.0000,0.0000,1,
17,val,2020-07-23,2020-07-25,300,Alpha,True,0.1429,0.0000,0.0000,1,
17,val,2020-07-23,2020-07-25,300,Beta,True,0.1429,0.0000,0.0000,1,
17,val,2020-07-23,2020-07-25,300,Delta,True,0.1667,0.0000,0.0000,1,
17,val,2020-07-23,2020-07-25,300,Omicron_BA1,True,0.0714,0.0000,0.0000,2,S477N
17,val,2020-07-23,2020-07-25,300,Lambda,True,0.1667,0.0000,0.0000,1,
17,val,2020-07-23,2020-07-25,300,Mu,True,0.1111,0.0000,0.0000,1,
18,val,2020-07-25,2020-07-27,254,Gamma,True,0.0833,0.0000,0.0000,1,
18,val,2020-07-25,2020-07-27,254,Zeta,True,0.3333,0.0000,0.0000,1,
18,val,2020-07-25,2020-07-27,254,Alpha,True,0.1429,0.0000,0.0000,1,
18,val,2020-07-25,2020-07-27,254,Beta,True,0.1429,0.0000,0.0000,1,
18,val,2020-07-25,2020-07-27,254,Delta,True,0.1667,0.0000,0.0000,1,
18,val,2020-07-25,2020-07-27,254,Omicron_BA1,True,0.0714,0.0000,0.0000,2,S477N
18,val,2020-07-25,2020-07-27,254,Lambda,True,0.1667,0.0000,0.0000,1,
18,val,2020-07-25,2020-07-27,254,Mu,True,0.1111,0.0000,0.0000,1,
19,val,2020-07-27,2020-07-28,300,Gamma,True,0.0833,0.0000,0.0000,1,
19,val,2020-07-27,2020-07-28,300,Zeta,True,0.3333,0.0000,0.0000,1,
19,val,2020-07-27,2020-07-28,300,Alpha,True,0.1429,0.0000,0.0000,1,
19,val,2020-07-27,2020-07-28,300,Beta,True,0.1429,0.0000,0.0000,1,
19,val,2020-07-27,2020-07-28,300,Delta,True,0.1667,0.0000,0.0000,1,
19,val,2020-07-27,2020-07-28,300,Omicron_BA1,True,0.0714,0.0000,0.0000,2,S477N
19,val,2020-07-27,2020-07-28,300,Lambda,True,0.1667,0.0000,0.0000,1,
19,val,2020-07-27,2020-07-28,300,Mu,True,0.1111,0.0000,0.0000,1,
20,val,2020-07-28,2020-07-29,291,Gamma,True,0.0833,0.0000,0.0000,1,
20,val,2020-07-28,2020-07-29,291,Zeta,True,0.3333,0.0000,0.0000,1,
20,val,2020-07-28,2020-07-29,291,Alpha,True,0.1429,0.0000,0.0000,1,
20,val,2020-07-28,2020-07-29,291,Beta,True,0.1429,0.0000,0.0000,1,
20,val,2020-07-28,2020-07-29,291,Delta,True,0.5000,0.3333,0.0000,1,
20,val,2020-07-28,2020-07-29,291,Omicron_BA1,True,0.1071,0.0357,0.0000,2,S477N
20,val,2020-07-28,2020-07-29,291,Lambda,True,0.1667,0.0000,0.0000,1,
20,val,2020-07-28,2020-07-29,291,Mu,True,0.1111,0.0000,0.0000,1,
21,val,2020-07-29,2020-07-30,300,Gamma,True,0.0833,0.0000,0.0000,1,
21,val,2020-07-29,2020-07-30,300,Zeta,True,0.3333,0.0000,0.0000,1,
21,val,2020-07-29,2020-07-30,300,Alpha,True,0.1429,0.0000,0.0000,1,
21,val,2020-07-29,2020-07-30,300,Beta,True,0.1429,0.0000,0.0000,1,
21,val,2020-07-29,2020-07-30,300,Delta,True,0.1667,0.0000,0.0000,1,
21,val,2020-07-29,2020-07-30,300,Omicron_BA1,True,0.0714,0.0000,0.0000,2,S477N
21,val,2020-07-29,2020-07-30,300,Lambda,True,0.1667,0.0000,0.0000,1,
21,val,2020-07-29,2020-07-30,300,Mu,True,0.1111,0.0000,0.0000,1,
22,val,2020-07-30,2020-08-01,300,Gamma,True,0.0833,0.0000,0.0000,1,
22,val,2020-07-30,2020-08-01,300,Zeta,True,0.3333,0.0000,0.0000,1,
22,val,2020-07-30,2020-08-01,300,Alpha,True,0.1429,0.0000,0.0000,1,
22,val,2020-07-30,2020-08-01,300,Beta,True,0.1429,0.0000,0.0000,1,
22,val,2020-07-30,2020-08-01,300,Delta,True,0.1667,0.0000,0.0000,1,
22,val,2020-07-30,2020-08-01,300,Omicron_BA1,True,0.0714,0.0000,0.0000,2,S477N
22,val,2020-07-30,2020-08-01,300,Lambda,True,0.1667,0.0000,0.0000,1,
22,val,2020-07-30,2020-08-01,300,Mu,True,0.1111,0.0000,0.0000,1,
23,val,2020-08-01,2020-08-03,300,Gamma,True,0.0833,0.0000,0.0000,1,
23,val,2020-08-01,2020-08-03,300,Zeta,True,0.3333,0.0000,0.0000,1,
23,val,2020-08-01,2020-08-03,300,Alpha,True,0.1429,0.0000,0.0000,1,
23,val,2020-08-01,2020-08-03,300,Beta,True,0.1429,0.0000,0.0000,1,
23,val,2020-08-01,2020-08-03,300,Delta,True,0.1667,0.0000,0.0000,1,
23,val,2020-08-01,2020-08-03,300,Omicron_BA1,True,0.0714,0.0000,0.0000,2,S477N
23,val,2020-08-01,2020-08-03,300,Lambda,True,0.1667,0.0000,0.0000,1,
23,val,2020-08-01,2020-08-03,300,Mu,True,0.1111,0.0000,0.0000,1,
24,val,2020-08-03,2020-08-04,300,Gamma,True,0.0833,0.0000,0.0000,1,
24,val,2020-08-03,2020-08-04,300,Zeta,True,0.3333,0.0000,0.0000,1,
24,val,2020-08-03,2020-08-04,300,Alpha,True,0.1429,0.0000,0.0000,1,
24,val,2020-08-03,2020-08-04,300,Beta,True,0.1429,0.0000,0.0000,1,
24,val,2020-08-03,2020-08-04,300,Delta,True,0.1667,0.0000,0.0000,1,
24,val,2020-08-03,2020-08-04,300,Omicron_BA1,True,0.0714,0.0000,0.0000,2,S477N
24,val,2020-08-03,2020-08-04,300,Lambda,True,0.1667,0.0000,0.0000,1,
24,val,2020-08-03,2020-08-04,300,Mu,True,0.1111,0.0000,0.0000,1,
25,val,2020-08-04,2020-08-06,299,Gamma,True,0.0833,0.0000,0.0000,1,
25,val,2020-08-04,2020-08-06,299,Zeta,True,0.3333,0.0000,0.0000,1,
25,val,2020-08-04,2020-08-06,299,Alpha,True,0.2857,0.1429,0.0000,1,
25,val,2020-08-04,2020-08-06,299,Beta,True,0.1429,0.0000,0.0000,1,
25,val,2020-08-04,2020-08-06,299,Delta,True,0.3333,0.1667,0.0000,1,
25,val,2020-08-04,2020-08-06,299,Omicron_BA1,True,0.0714,0.0000,0.0000,2,S477N
25,val,2020-08-04,2020-08-06,299,Lambda,True,0.1667,0.0000,0.0000,1,
25,val,2020-08-04,2020-08-06,299,Mu,True,0.1111,0.0000,0.0000,1,
26,val,2020-08-06,2020-08-10,300,Gamma,True,0.0833,0.0000,0.0000,1,
26,val,2020-08-06,2020-08-10,300,Zeta,True,0.3333,0.0000,0.0000,1,
26,val,2020-08-06,2020-08-10,300,Alpha,True,0.1429,0.0000,0.0000,1,
26,val,2020-08-06,2020-08-10,300,Beta,True,0.1429,0.0000,0.0000,1,
26,val,2020-08-06,2020-08-10,300,Delta,True,0.1667,0.0000,0.0000,1,
26,val,2020-08-06,2020-08-10,300,Omicron_BA1,True,0.0714,0.0000,0.0000,2,S477N
26,val,2020-08-06,2020-08-10,300,Lambda,True,0.1667,0.0000,0.0000,1,
