method,track,sim_regime,root_id,N,H,sample_seed,valid,tree_kl,split_kl,rf,quartet,branch_w_all,terminal_edit,runtime
plm_prior,sim_JTT,JTT,NODE_0000235,16,0.0012566343750000002,0,20,0.6931471605599453,44.17379380354474,0.9071428571428571,0.5348901098901099,7.56244607455729e-05,0.002191916961130742,0.3816859722137451
plm_prior,sim_WAG,WAG,NODE_0000235,16,0.0012566343750000002,0,20,0.6931471605599453,44.17379380354474,0.9035714285714286,0.517032967032967,7.56244607455729e-05,0.0026004858657243815,0.3816859722137451
plm_prior,sim_LG,LG,NODE_0000235,16,0.0012566343750000002,0,20,0.6931471605599453,44.17379380354474,0.8928571428571429,0.5292032967032967,7.56244607455729e-05,0.002617049469964664,0.3816859722137451
treesbm,empirical,,NODE_0000235,16,0.0012566343750000002,0,20,nan,nan,0.9928571428571429,0.6453571428571429,0.0002442652218341566,0.0020759717314487633,500.66869497299194
treesbm,sim_neutral,neutral,NODE_0000235,16,0.0012566343750000002,0,20,0.6931471605599453,57.80419027865716,0.8857142857142857,0.5690659340659341,0.00011429224570606683,0.001661881625441696,500.66869497299194
treesbm,sim_JTT,JTT,NODE_0000235,16,0.0012566343750000002,0,20,0.6931471605599453,57.80419027865716,0.8857142857142857,0.5691208791208792,0.00011429224570606683,0.0017226148409893993,500.66869497299194
treesbm,sim_WAG,WAG,NODE_0000235,16,0.0012566343750000002,0,20,0.6931471605599453,57.80419027865716,0.9392857142857143,0.5737637362637362,0.00011429224570606683,0.002131183745583039,500.66869497299194
treesbm,sim_LG,LG,NODE_0000235,16,0.0012566343750000002,0,20,0.6931471605599453,57.80419027865716,0.8928571428571429,0.563543956043956,0.00011429224570606683,0.0021477473498233215,500.66869497299194
phylaflow,empirical,,NODE_0000235,16,0.0012566343750000002,0,20,nan,nan,0.9857142857142858,0.6607967032967033,0.0003167054805831838,0.002545273851590106,3.9608635902404785
phylaflow,sim_neutral,neutral,NODE_0000235,16,0.0012566343750000002,0,20,0.6931471610599452,78.92648599312545,0.9244708994708994,0.5473076923076923,0.00046074663588585054,0.0021477473498233215,3.9608635902404785
phylaflow,sim_JTT,JTT,NODE_0000235,16,0.0012566343750000002,0,20,0.6931471610599452,78.92648599312545,0.9634920634920635,0.5683516483516483,0.00046074663588585054,0.0022140017667844525,3.9608635902404785
phylaflow,sim_WAG,WAG,NODE_0000235,16,0.0012566343750000002,0,20,0.6931471610599452,78.92648599312545,0.9388787138787139,0.5879395604395604,0.00046074663588585054,0.0026280918727915195,3.9608635902404785
phylaflow,sim_LG,LG,NODE_0000235,16,0.0012566343750000002,0,20,0.6931471610599452,78.92648599312545,0.9568783068783069,0.5970604395604395,0.00046074663588585054,0.0026336130742049472,3.9608635902404785
artreeformer_adapted,empirical,,NODE_0000235,16,0.0012566343750000002,0,20,nan,nan,0.9962962962962963,0.6371703296703296,0.00020450460668158989,0.0027164310954063604,0.0
artreeformer_adapted,sim_neutral,neutral,NODE_0000235,16,0.0012566343750000002,0,20,0.6931471605599453,63.429013826286905,0.937037037037037,0.5528846153846154,0.0001874579569650215,0.0022747349823321553,0.0
artreeformer_adapted,sim_JTT,JTT,NODE_0000235,16,0.0012566343750000002,0,20,0.6931471605599453,63.429013826286905,0.9592592592592593,0.5707142857142857,0.0001874579569650215,0.0023465106007067135,0.0
artreeformer_adapted,sim_WAG,WAG,NODE_0000235,16,0.0012566343750000002,0,20,0.6931471605599453,63.429013826286905,0.9481481481481482,0.5776923076923077,0.0001874579569650215,0.002760600706713781,0.0
artreeformer_adapted,sim_LG,LG,NODE_0000235,16,0.0012566343750000002,0,20,0.6931471605599453,63.429013826286905,0.9518518518518518,0.5884065934065934,0.0001874579569650215,0.002771643109540636,0.0
phylovae_adapted,empirical,,NODE_0000235,16,0.0012566343750000002,0,20,nan,nan,0.9962962962962963,0.6378571428571429,0.00017842116543507068,0.0026004858657243815,0.0
phylovae_adapted,sim_neutral,neutral,NODE_0000235,16,0.0012566343750000002,0,20,0.6931471605599453,63.112349930233876,0.937037037037037,0.5976373626373627,0.000177402410867278,0.002169832155477032,0.0
phylovae_adapted,sim_JTT,JTT,NODE_0000235,16,0.0012566343750000002,0,20,0.6931471605599453,63.112349930233876,0.9518518518518518,0.5869505494505495,0.000177402410867278,0.00224160777385159,0.0
phylovae_adapted,sim_WAG,WAG,NODE_0000235,16,0.0012566343750000002,0,20,0.6931471605599453,63.112349930233876,0.9259259259259259,0.5677197802197802,0.000177402410867278,0.002617049469964664,0.0
phylovae_adapted,sim_LG,LG,NODE_0000235,16,0.0012566343750000002,0,20,0.6931471605599453,63.112349930233876,0.9703703703703703,0.6116758241758242,0.000177402410867278,0.002661219081272085,0.0
